row_id,r,sigma_prime,sigma_second,Q_sqrt_negative_sigma_second,mu_recovered,gamma_recovered,mu_difference_from_extracted_record,gamma_difference_from_extracted_record,recovery_error,finite_status
15,0.04000000000000000000000000000000000000000,0.2972513022250756328329150881438820217833,-0.1445245982969925019366660266903909494091,0.3801639097770756328329150881438820217833,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,-4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
16,0.04500000000000000000000000000000000000000,0.2965300502035328918631752734275334314906,-0.1439767305245824654497437630992220656922,0.3794426577555328918631752734275334314906,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
17,0.05000000000000000000000000000000000000000,0.2958115297374864216199272767234487946134,-0.1434319721656657594862525880620069634295,0.3787241372894864216199272767234487946134,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
18,0.05500000000000000000000000000000000000000,0.2950957253386751319482996930510626359033,-0.1428902997347874667566155450838094242210,0.3780083328906751319482996930510626359033,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
19,0.06000000000000000000000000000000000000000,0.2943826216357108730480028546985310312080,-0.1423516899678072747001077019727154272927,0.3772952291877108730480028546985310312080,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,-4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
20,0.06500000000000000000000000000000000000000,0.2936722033729781211196869209992884655785,-0.1418161198194015208476130973581103214929,0.3765848109249781211196869209992884655785,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,0.0,6.050924866952059801278172864509924761828e-122,FINITE
21,0.07000000000000000000000000000000000000000,0.2929644554095460714991274087033751129378,-0.1412835664605980695900387395096007726534,0.3758770629615460714991274087033751129378,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,-4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
22,0.07500000000000000000000000000000000000000,0.2922593627180929763562802616356185330145,-0.1407540072763435281184483911368950228365,0.3751719702700929763562802616356185330145,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,0.0,6.050924866952059801278172864509924761828e-122,FINITE
23,0.08000000000000000000000000000000000000000,0.2915569103838425664766358185721277026321,-0.1402274198631023175888937227607851121612,0.3744695179358425664766358185721277026321,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
24,0.08500000000000000000000000000000000000000,0.2908570836035123990416418728407529164027,-0.1397037820264871236971104641443858756327,0.3737696911555123990416418728407529164027,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,0.0,6.050924866952059801278172864509924761828e-122,FINITE
25,0.09000000000000000000000000000000000000000,0.2901598676842739756840260906413078960541,-0.1391830717789202588288842547857899003828,0.3730724752362739756840260906413078960541,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,0.0,6.050924866952059801278172864509924761828e-122,FINITE
26,0.09500000000000000000000000000000000000000,0.2894652480427244774133773506591505888320,-0.1386652673373254757840760163226894513022,0.3723778555947244774133773506591505888320,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
27,0.1000000000000000000000000000000000000000,0.2887732102038699652880787366869203518969,-0.1381503471208497807590617756362130827340,0.3716858177558699652880787366869203518969,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,-4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
28,0.1050000000000000000000000000000000000000,0.2880837398001198979523416187338009721994,-0.1376382897486148008166514638265813275237,0.3709963473521198979523416187338009721994,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
29,0.1100000000000000000000000000000000000000,0.2873968225702928193623755001993558034847,-0.1371290740374972684773040035171752719543,0.3703094301222928193623755001993558034847,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
30,0.1150000000000000000000000000000000000000,0.2867124443586330721943327605426933272853,-0.1366226789999381933334864492272164790346,0.3696250519106330721943327605426933272853,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
31,0.1200000000000000000000000000000000000000,0.2860305911138383945592677408915786157590,-0.1361190838417802977231048493948118766684,0.3689431986658383945592677408915786157590,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,9.681479787123295682045076583215879618926e-122,9.756823178591322958587864469266398797597e-122,FINITE
32,0.1250000000000000000000000000000000000000,0.2853512488880982597476087552688910105751,-0.1356182679601333005007744522222379455692,0.3682638564400982597476087552688910105751,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,9.681479787123295682045076583215879618926e-122,1.141686220526356958465567973581526888389e-121,FINITE
33,0.1300000000000000000000000000000000000000,0.2846744038361428207882091105534116574392,-0.1351202109412666398199477513120221084823,0.3675870113881428207882091105534116574392,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
34,0.1350000000000000000000000000000000000000,0.2840000422143023236355555239206412709419,-0.1346248925585292325871732269458623871557,0.3669126497663023236355555239206412709419,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
35,0.1400000000000000000000000000000000000000,0.2833281503795768547937930573451506134034,-0.1341322927702958748745511328343605366711,0.3662407579315768547937930573451506134034,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
36,0.1450000000000000000000000000000000000000,0.2826587147887162911484859260391025721537,-0.1336423917179398940802653876149977309852,0.3655713223407162911484859260391025721537,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
37,0.1500000000000000000000000000000000000000,0.2819917219973103217070720984616386072065,-0.1331551697238316700123283868214593806585,0.3649043295493103217070720984616386072065,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
38,0.1550000000000000000000000000000000000000,0.2813271586588884128473733105571603577435,-0.1326706072893626483397512193772550050452,0.3642397662108884128473733105571603577435,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,4.840739893561647841022538291607939809463e-122,7.748964734893173862267352925130106812994e-122,FINITE
39,0.1600000000000000000000000000000000000000,0.2806650115240295905408660524435877828573,-0.1321886850929944760105665017285493045345,0.3635776190760295905408660524435877828573,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,4.840739893561647841022538291607939809463e-122,7.748964734893173862267352925130106812994e-122,FINITE
40,0.1650000000000000000000000000000000000000,0.2800052674394819148542668591509510116479,-0.1317093839883328942797554841865248503361,0.3629178749914819148542668591509510116479,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,4.840739893561647841022538291607939809463e-122,7.748964734893173862267352925130106812994e-122,FINITE
